STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS,WESD,WESF
USC00280907,"BOONTON 1 SE, NJ US",2020-01-01,,42,35,35,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-02,,37,24,25,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-03,,46,24,39,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-04,,46,39,43,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-05,,48,36,36,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-06,,39,30,32,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-07,,43,29,30,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-08,,41,28,29,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-09,,40,21,21,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-10,,33,20,30,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-11,,50,30,48,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-12,,65,47,57,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-13,,63,32,32,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-14,,42,31,34,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-15,,42,33,38,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-16,,48,33,42,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-17,,47,20,21,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-18,,27,16,18,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-19,,37,18,35,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-20,,40,18,20,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-21,,29,18,18,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-22,,31,16,17,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-23,,37,16,18,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-24,,44,18,27,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-25,,51,26,36,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-26,,44,35,36,,
USC00280907,"BOONTON 1 SE, NJ US",2020-01-27,,43,34,36,,
